parent_channel,week_start,avg_gap_hours,gap_count
announcements,2024-10-28,47.16,2
announcements,2024-11-18,641.35,1
announcements,2024-12-09,534.86,1
announcements,2024-12-23,0.01,1
announcements,2025-01-27,1649.25,1
announcements,2025-03-03,1.2,11
announcements,2025-03-10,572.53,1
announcements,2025-03-24,7.41,1
announcements,2025-04-28,1623.01,1
announcements,2025-06-23,1148.88,1
announcements,2025-09-01,2311.0,1
announcements,2025-10-20,0.11,2
announcements,2025-10-27,390.7,1
announcements,2025-11-10,80.77,2
announcements,2025-12-01,673.26,1
announcements,2025-12-15,28.78,4
announcements,2025-12-22,269.0,1
announcements,2025-12-29,7.02,5
announcements,2026-01-05,238.32,1
announcements,2026-01-12,2.69,23
announcements,2026-02-23,1971.66,1
announcements,2026-04-13,373.64,1
announcements,2026-05-25,1847.65,1
announcements,2026-07-06,0.44,9
barrows-sisters,2023-10-02,1.71,29
barrows-sisters,2023-10-09,24.15,4
barrows-sisters,2023-10-16,7.87,27
barrows-sisters,2023-10-23,17.93,12
barrows-sisters,2023-10-30,1.39,112
barrows-sisters,2023-11-06,4.41,52
barrows-sisters,2023-11-13,9.23,13
barrows-sisters,2023-11-20,46.92,4
barrows-sisters,2023-11-27,44.37,5
barrows-sisters,2023-12-04,7.47,4
barrows-sisters,2023-12-11,53.61,4
barrows-sisters,2023-12-18,5.58,33
barrows-sisters,2023-12-25,1.96,3
barrows-sisters,2024-01-01,358.68,1
barrows-sisters,2024-01-15,287.61,1
barrows-sisters,2024-01-29,408.84,1
barrows-sisters,2024-02-05,14.5,8
barrows-sisters,2024-02-12,59.94,4
barrows-sisters,2024-02-19,8.2,13
barrows-sisters,2024-02-26,6.86,20
barrows-sisters,2024-03-04,23.99,5
barrows-sisters,2024-03-11,9.01,26
barrows-sisters,2024-03-18,20.98,8
barrows-sisters,2024-03-25,13.91,11
barrows-sisters,2024-04-01,55.14,3
barrows-sisters,2024-04-08,9.84,17
barrows-sisters,2024-04-15,3.85,44
barrows-sisters,2024-04-22,12.96,13
barrows-sisters,2024-04-29,2.08,80
barrows-sisters,2024-05-06,5.5,34
barrows-sisters,2024-05-13,4.94,35
barrows-sisters,2024-05-20,7.99,18
barrows-sisters,2024-05-27,2.97,65
barrows-sisters,2024-06-03,1.82,87
barrows-sisters,2024-06-10,0.96,182
barrows-sisters,2024-06-17,14.44,13
barrows-sisters,2024-06-24,49.84,4
barrows-sisters,2024-07-01,10.5,7
barrows-sisters,2024-07-15,499.72,1
barrows-sisters,2024-07-22,0.17,5
barrows-sisters,2024-07-29,3.76,38
barrows-sisters,2024-08-05,39.61,6
barrows-sisters,2024-08-12,18.59,9
barrows-sisters,2024-08-19,24.13,4
barrows-sisters,2024-08-26,234.33,1
barrows-sisters,2024-09-02,5.3,8
barrows-sisters,2024-09-09,38.72,7
barrows-sisters,2024-09-16,23.16,7
barrows-sisters,2024-09-23,295.83,1
barrows-sisters,2024-09-30,1.83,26
barrows-sisters,2024-10-07,17.41,8
barrows-sisters,2024-10-21,558.08,1
barrows-sisters,2024-11-04,30.74,7
barrows-sisters,2024-11-11,9.14,3
barrows-sisters,2024-11-18,48.58,5
barrows-sisters,2024-11-25,252.15,1
barrows-sisters,2024-12-09,504.2,1
barrows-sisters,2024-12-23,0.19,1
barrows-sisters,2024-12-30,406.35,1
barrows-sisters,2025-01-06,5.28,4
barrows-sisters,2025-01-13,7.78,20
barrows-sisters,2025-01-20,276.9,1
barrows-sisters,2025-01-27,52.1,2
barrows-sisters,2025-02-10,487.66,1
barrows-sisters,2025-02-24,12.74,12
barrows-sisters,2025-03-03,10.66,10
barrows-sisters,2025-03-10,72.5,4
barrows-sisters,2025-03-17,23.17,2
barrows-sisters,2025-03-24,13.9,14
barrows-sisters,2025-03-31,284.51,1
barrows-sisters,2025-04-07,19.5,7
barrows-sisters,2025-04-14,2.07,51
barrows-sisters,2025-04-21,100.83,1
barrows-sisters,2025-05-05,583.46,1
barrows-sisters,2025-06-16,1624.12,1
barrows-sisters,2025-08-04,530.52,1
barrows-sisters,2025-08-11,8.73,1
barrows-sisters,2025-08-18,70.02,2
barrows-sisters,2025-09-01,663.45,1
barrows-sisters,2025-09-15,13.05,1
barrows-sisters,2025-09-29,634.96,1
barrows-sisters,2025-10-13,5.26,13
barrows-sisters,2025-10-20,100.0,2
barrows-sisters,2025-10-27,8.58,13
barrows-sisters,2025-11-03,28.5,6
barrows-sisters,2025-11-10,53.54,3
barrows-sisters,2025-11-17,1.54,98
barrows-sisters,2025-11-24,132.83,2
barrows-sisters,2025-12-01,7.32,12
barrows-sisters,2025-12-15,586.8,1
barrows-sisters,2025-12-29,1.76,64
barrows-sisters,2026-01-05,96.41,2
barrows-sisters,2026-01-12,17.2,8
barrows-sisters,2026-01-19,16.41,11
barrows-sisters,2026-01-26,85.59,2
barrows-sisters,2026-02-02,7.56,21
barrows-sisters,2026-02-09,5.11,4
barrows-sisters,2026-02-16,337.56,1
barrows-sisters,2026-02-23,32.86,5
barrows-sisters,2026-03-02,0.05,1
barrows-sisters,2026-03-09,325.54,1
barrows-sisters,2026-03-16,7.41,5
barrows-sisters,2026-04-06,1115.04,1
barrows-sisters,2026-04-27,34.68,1
barrows-sisters,2026-05-04,185.95,1
barrows-sisters,2026-05-11,10.51,3
barrows-sisters,2026-05-18,523.48,1
barrows-sisters,2026-06-01,6.53,5
barrows-sisters,2026-06-08,289.41,1
barrows-sisters,2026-06-15,5.28,4
barrows-sisters,2026-06-22,323.92,1
barrows-sisters,2026-06-29,0.01,1
barrows-sisters,2026-07-06,298.89,1
