parent_channel,week_start,message_count
barrows-sisters,2024-09-30,27
barrows-sisters,2024-10-07,8
barrows-sisters,2024-11-04,7
barrows-sisters,2024-11-11,4
barrows-sisters,2024-11-18,5
barrows-sisters,2024-12-02,1
barrows-sisters,2024-12-23,2
barrows-sisters,2025-01-06,4
barrows-sisters,2025-01-13,21
barrows-sisters,2025-01-27,2
barrows-sisters,2025-02-03,1
barrows-sisters,2025-02-24,12
barrows-sisters,2025-03-03,11
barrows-sisters,2025-03-10,3
barrows-sisters,2025-03-17,3
barrows-sisters,2025-03-24,14
barrows-sisters,2025-04-07,7
barrows-sisters,2025-04-14,52
barrows-sisters,2025-04-21,1
barrows-sisters,2025-05-19,1
barrows-sisters,2025-07-21,1
barrows-sisters,2025-08-11,2
barrows-sisters,2025-08-18,2
barrows-sisters,2025-09-15,2
barrows-sisters,2025-10-13,14
barrows-sisters,2025-10-20,1
barrows-sisters,2025-10-27,14
barrows-sisters,2025-11-03,6
barrows-sisters,2025-11-10,3
barrows-sisters,2025-11-17,98
barrows-sisters,2025-11-24,1
barrows-sisters,2025-12-01,13
barrows-sisters,2025-12-29,65
barrows-sisters,2026-01-05,1
barrows-sisters,2026-01-12,9
barrows-sisters,2026-01-19,10
barrows-sisters,2026-01-26,2
barrows-sisters,2026-02-02,22
barrows-sisters,2026-02-09,4
barrows-sisters,2026-02-23,5
barrows-sisters,2026-03-02,2
barrows-sisters,2026-03-16,6
barrows-sisters,2026-04-27,1
barrows-sisters,2026-05-04,1
barrows-sisters,2026-05-11,4
barrows-sisters,2026-06-01,6
barrows-sisters,2026-06-15,5
barrows-sisters,2026-06-29,2
barrows-sisters,2026-07-13,6
bossing-text-channel,2020-09-28,18
bossing-text-channel,2020-10-12,3
bossing-text-channel,2020-10-19,43
bossing-text-channel,2020-10-26,1
bossing-text-channel,2020-11-09,23
bossing-text-channel,2020-11-16,17
bossing-text-channel,2020-11-30,41
bossing-text-channel,2020-12-07,95
bossing-text-channel,2020-12-14,55
bossing-text-channel,2020-12-21,273
bossing-text-channel,2020-12-28,107
bossing-text-channel,2021-01-18,1
bossing-text-channel,2021-01-25,3
bossing-text-channel,2021-02-01,48
bossing-text-channel,2021-02-08,19
bossing-text-channel,2021-02-15,25
bossing-text-channel,2021-02-22,10
bossing-text-channel,2021-03-01,8
bossing-text-channel,2021-03-08,25
bossing-text-channel,2021-03-15,72
bossing-text-channel,2021-03-22,36
bossing-text-channel,2021-03-29,37
bossing-text-channel,2021-04-05,44
bossing-text-channel,2021-04-12,21
bossing-text-channel,2021-04-19,107
bossing-text-channel,2021-04-26,5
bossing-text-channel,2021-05-03,13
bossing-text-channel,2021-05-24,48
bossing-text-channel,2021-05-31,57
bossing-text-channel,2021-06-07,1
